,Unnamed: 0,Team,Year,ST,W,PD,PP,FL,BF,BG,PTS,WC,EVENT,ENGINES,GRID POS,RACE
153,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Emilia Romagna Grand Prix,Mercedes,1,2.0
154,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Turkish Grand Prix,Mercedes,6,1.0
155,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Turkish Grand Prix,Mercedes,9,14.0
156,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Bahrain Grand Prix,Mercedes,1,1.0
157,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Bahrain Grand Prix,Mercedes,2,8.0
158,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Sakhir Grand Prix,Mercedes,1,8.0
159,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Sakhir Grand Prix,Mercedes,2,9.0
160,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Abu Dhabi Grand Prix,Mercedes,2,2.0
161,3,mercedes,2020,17,13,25,15,9,1,1,573.0,1st,Abu Dhabi Grand Prix,Mercedes,3,3.0
162,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Chinese Grand Prix,Mercedes,1,2.0
163,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Azerbaijan Grand Prix,Mercedes,1,1.0
164,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Azerbaijan Grand Prix,Mercedes,2,2.0
165,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Spanish Grand Prix,Mercedes,2,1.0
166,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Spanish Grand Prix,Mercedes,1,2.0
167,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Monaco Grand Prix,Mercedes,1,1.0
168,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Monaco Grand Prix,Mercedes,2,3.0
169,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Canadian Grand Prix,Mercedes,2,1.0
170,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Canadian Grand Prix,Mercedes,6,4.0
171,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,French Grand Prix,Mercedes,1,1.0
172,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,French Grand Prix,Mercedes,2,2.0
173,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Austrian Grand Prix,Mercedes,3,3.0
174,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Austrian Grand Prix,Mercedes,4,5.0
175,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,British Grand Prix,Mercedes,2,1.0
176,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,British Grand Prix,Mercedes,1,2.0
177,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,German Grand Prix,Mercedes,1,9.0
178,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,German Grand Prix,Mercedes,3,0.0
179,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Hungarian Grand Prix,Mercedes,3,1.0
180,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Hungarian Grand Prix,Mercedes,2,8.0
181,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Belgian Grand Prix,Mercedes,3,2.0
182,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Belgian Grand Prix,Mercedes,4,3.0
183,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Italian Grand Prix,Mercedes,3,2.0
184,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Italian Grand Prix,Mercedes,2,3.0
185,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Singapore Grand Prix,Mercedes,2,4.0
186,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Singapore Grand Prix,Mercedes,5,5.0
187,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Russian Grand Prix,Mercedes,2,1.0
188,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Russian Grand Prix,Mercedes,4,2.0
189,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Japanese Grand Prix,Mercedes,3,1.0
190,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Japanese Grand Prix,Mercedes,4,3.0
191,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Mexican Grand Prix,Mercedes,3,1.0
192,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Mexican Grand Prix,Mercedes,6,3.0
193,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,United States Grand Prix,Mercedes,1,1.0
194,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,United States Grand Prix,Mercedes,5,2.0
195,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Brazilian Grand Prix,Mercedes,3,7.0
196,4,mercedes,2019,21,15,32,10,9,1,1,739.0,1st,Brazilian Grand Prix,Mercedes,4,0.0
